"";"Sample_name";"Sample_ID_demultiplexing";"SITE_PAIR";"PLOT_ID";"SUBPLOT";"SITE_ID";"MANAGEMENT";"MESH_TYPE";"locality_id";"GDD0";"precip_Plot_ID_coll_3";"N %";"C/N";"E3pH";"percent_mass_loss";"ergosterol_new";"bioclim_10";"bioclim_7";"vac.myr"
"98";"SAR_NN_S_50";"S116";5;9;50;"SAR";"NN";"S";"SAR_NN_50";"3811.2154947916665";"1289.19720152323";"1.3";"39";"3.86";"56.1062638538777";0,322361049;13,83774948;50,90399933;"27"
"99";"SAR_NN_L_51";"S117";5;9;51;"SAR";"NN";"L";"SAR_NN_51";"3894.858723958333";"1289.19720152323";"1.3";"39";"3.86";"49.7519233275832";0,355725046;13,83774948;50,90399933;"29"
"100";"SAR_NN_S_51";"S118";5;9;51;"SAR";"NN";"S";"SAR_NN_51";"3894.858723958333";"1289.19720152323";"1.3";"39";"3.86";"52.7084141061539";0,312736425;13,83774948;50,90399933;"29"
"101";"SAR_NN_L_52";"S119";5;9;52;"SAR";"NN";"L";"SAR_NN_52";"3982.653645833333";"1289.19720152323";"1.3";"39";"3.86";"46.7042992060361";0,397112634;13,83774948;50,90399933;"71"
"102";"SAR_NN_S_52";"S120";5;9;52;"SAR";"NN";"S";"SAR_NN_52";"3982.653645833333";"1289.19720152323";"1.3";"39";"3.86";"65.7375134634028";0,249941322;13,83774948;50,90399933;"71"
"103";"SAR_NN_L_53";"S121";5;9;53;"SAR";"NN";"L";"SAR_NN_53";"4015.50390625";"1289.19720152323";"1.3";"39";"3.86";"63.0548498749653";0,256115237;13,83774948;50,90399933;"72"
"104";"SAR_NN_S_53";"S122";5;9;53;"SAR";"NN";"S";"SAR_NN_53";"4015.50390625";"1289.19720152323";"1.3";"39";"3.86";"58.8492916785908";0,323520965;13,83774948;50,90399933;"72"
"105";"SAR_NN_L_54";"S123";5;9;54;"SAR";"NN";"L";"SAR_NN_54";"4001.515625";"1289.19720152323";"1.3";"39";"3.86";"52.5292480989753";0,309236115;13,83774948;50,90399933;"48"
"106";"SAR_NN_S_54";"S124";5;9;54;"SAR";"NN";"S";"SAR_NN_54";"4001.515625";"1289.19720152323";"1.3";"39";"3.86";"61.3862210890356";0,224854985;13,83774948;50,90399933;"48"
"107";"SAR_CC_L_55";"S125";5;10;55;"SAR";"CC";"L";"SAR_CC_55";"3951.9381510416665";"1293.8794064871";"1.28";"39.7";"3.97";"48.6109434303538";0,401521702;13,82839966;50,99009705;"3"
"108";"SAR_CC_S_55";"S126";5;10;55;"SAR";"CC";"S";"SAR_CC_55";"3951.9381510416665";"1293.8794064871";"1.28";"39.7";"3.97";"65.3820626744418";0,272603512;13,82839966;50,99009705;"3"
"109";"SAR_CC_L_56";"S127";5;10;56;"SAR";"CC";"L";"SAR_CC_56";"4061.0527343749995";"1293.8794064871";"1.28";"39.7";"3.97";"60.1118457106258";0,293600622;13,82839966;50,99009705;"0"
"110";"SAR_CC_S_56";"S128";5;10;56;"SAR";"CC";"S";"SAR_CC_56";"4061.0527343749995";"1293.8794064871";"1.28";"39.7";"3.97";"66.3345707088456";0,490640418;13,82839966;50,99009705;"0"
"111";"SAR_CC_L_57";"S129";5;10;57;"SAR";"CC";"L";"SAR_CC_57";"4054.216145833333";"1293.8794064871";"1.28";"39.7";"3.97";"55.7635519142257";0,320648861;13,82839966;50,99009705;"0"
"112";"SAR_CC_S_57";"S130";5;10;57;"SAR";"CC";"S";"SAR_CC_57";"4054.216145833333";"1293.8794064871";"1.28";"39.7";"3.97";"68.3242005804397";0,314234848;13,82839966;50,99009705;"0"
"113";"SAR_CC_L_58";"S131";5;10;58;"SAR";"CC";"L";"SAR_CC_58";"4050.417317708333";"1293.8794064871";"1.28";"39.7";"3.97";"52.6732937290207";0,306284396;13,82839966;50,99009705;"0"
"114";"SAR_CC_L_59";"S133";5;10;59;"SAR";"CC";"L";"SAR_CC_59";"4169.86328125";"1293.8794064871";"1.28";"39.7";"3.97";"62.4529496692591";0,286844287;13,82839966;50,99009705;"0"
"115";"SAR_CC_S_59";"S134";5;10;59;"SAR";"CC";"S";"SAR_CC_59";"4169.86328125";"1293.8794064871";"1.28";"39.7";"3.97";"60.7265591527024";0,224521141;13,82839966;50,99009705;"0"
"116";"SAR_CC_L_60";"S135";5;10;60;"SAR";"CC";"L";"SAR_CC_60";"4163.149088541666";"1293.8794064871";"1.28";"39.7";"3.97";"63.3470550806561";0,361816114;13,82839966;50,99009705;"0"
"117";"SAR_CC_S_60";"S136";5;10;60;"SAR";"CC";"S";"SAR_CC_60";"4163.149088541666";"1293.8794064871";"1.28";"39.7";"3.97";"58.9682168021114";0,343858664;13,82839966;50,99009705;"0"
